epoch,train_loss,train_recon_loss,train_kl_loss,train_cls_loss,train_beta,train_lambda_cls,train_accuracy,train_macro_f1,train_balanced_accuracy,val_loss,val_recon_loss,val_kl_loss,val_cls_loss,val_beta,val_lambda_cls,val_accuracy,val_macro_f1,val_balanced_accuracy,lr
1,1.3382181557578656,0.9869393315147514,13.435009535593004,1.749676580225403,0.0001,0.2,0.45829145728643217,0.422039471569699,0.4535551198854042,1.100649760362688,0.8588848007676747,49.059175303284555,1.1842951511553195,0.0001,0.2,0.6525821596244131,0.6316661703335464,0.6681193500127324,0.000999618372939158
2,1.2093333806224804,0.8511696918525887,74.35852601324494,0.8582299405006907,0.0002,0.4,0.6954773869346733,0.6707974467337355,0.7071716775288635,1.1245086814316225,0.7916752704432313,88.93525273139488,0.7876158769421734,0.0002,0.4,0.7652582159624414,0.7629166561136016,0.7947690534547152,0.0009984740801978985
3,1.1041761474992762,0.7978440434489418,104.0413288979075,0.4585328312824719,0.0003,0.6,0.8351758793969849,0.8328454765934292,0.8579950193736922,1.2743293522669117,0.7624747126315121,101.14327075223967,0.8025194490459603,0.0003,0.6,0.7887323943661971,0.7671711450212508,0.7916500880655293,0.0009965688861926887
4,1.0492481536002614,0.7688019432614197,112.14951994622773,0.2944829925445456,0.0004,0.8,0.8864321608040201,0.8879300402959476,0.9016383402302548,1.494362427035408,0.7416437259862121,101.80762736002605,0.8899945627915468,0.0004,0.8,0.7652582159624414,0.7423225885498657,0.7476354935913759,0.0009939057285945933
5,0.9724948382856858,0.7441932960970318,113.38024344132774,0.17161141869485677,0.0005,1.0,0.9326633165829146,0.9342338786653634,0.9466747940347233,1.7007163656709339,0.7200213693117312,100.68526258155214,0.9303523181749621,0.0005,1.0,0.7699530516431925,0.7221376922034817,0.7272106569900687,0.0009904887137995992
6,0.8959602318816449,0.7262980222702027,110.16780969054255,0.10356152487600494,0.0006,1.0,0.9618090452261306,0.9655706150129888,0.9662687489952727,1.8176568449942718,0.7014121771418432,99.52575873433145,1.056529229515595,0.0006,1.0,0.7652582159624414,0.7176742214620729,0.7157718200916731,0.00098632311059685
7,0.8336474149670433,0.7063240878546059,110.07595752351847,0.050270160767319966,0.0007,1.0,0.985929648241206,0.9874468582677312,0.9893993360981197,1.8396002138164682,0.6819591547401858,94.74495009301414,1.091319588148538,0.0007,1.0,0.755868544600939,0.7224906668076646,0.7186424380358204,0.0009814153420445555
8,0.8145523391776348,0.6844638191874902,104.22880469854154,0.04670548357312853,0.0008,1.0,0.9829145728643216,0.9851707378234659,0.9867328531268051,1.84695153169229,0.666345885102178,91.36780326019431,1.107511390262926,0.0008,1.0,0.7699530516431925,0.7317528216126614,0.7281042435913759,0.0009757729755661012
9,0.7923089502444819,0.6673513066229508,100.31624105635599,0.03467302633316055,0.0009000000000000001,1.0,0.9909547738693467,0.9921196299544959,0.9914925168373125,1.94557171584295,0.6534210628187153,85.14450990202282,1.2155205764121293,0.0009000000000000001,1.0,0.784037558685446,0.7468074482020617,0.7381026653085476,0.0009694047112816298
10,0.7806066773644644,0.6525434784553757,95.94543797478605,0.03211775559852433,0.001,1.0,0.992964824120603,0.9941838134485873,0.994944298141792,1.8979804347938216,0.6435796831135459,77.62125615222914,1.1767794293976725,0.001,1.0,0.7652582159624414,0.7219748911659488,0.7215678316781258,0.0009623203685930871
11,0.7610187636547951,0.6422526605165184,90.86852824915593,0.027897571368539594,0.001,1.0,0.9949748743718593,0.9956761475583504,0.9946013467683932,1.922512067875392,0.6329648836117955,78.78884461452144,1.2107583413101697,0.001,1.0,0.7793427230046949,0.745701690676736,0.7399255819752143,0.0009545308710434153
12,0.7422639983982297,0.6274107301954049,90.14914122921738,0.024704123958570873,0.001,1.0,0.992964824120603,0.9929191565112483,0.9943277628678886,1.8212632175902246,0.6216852835646258,78.09905296648053,1.121478883313461,0.001,1.0,0.7605633802816901,0.716973834988541,0.710565343561667,0.0009460482294732422
13,0.7223994722917452,0.6111301428708599,91.50379364167027,0.019765538404035807,0.001,1.0,0.9969849246231156,0.9967549123340234,0.9959718245369654,1.7919369840845816,0.6116549529380082,75.56073850533213,1.1047213085940186,0.001,1.0,0.7746478873239436,0.7264748372881634,0.7165451786775316,0.0009368855235010348
14,0.7143764982870475,0.5973013681982031,89.8786678601749,0.027196460293989685,0.001,1.0,0.9919597989949749,0.9908750440665857,0.9902818373726302,1.7497225999832153,0.6047101113158213,76.12500809503832,1.0688874766300542,0.001,1.0,0.7746478873239436,0.7219321472446965,0.7203882973644002,0.0009270568813552758
15,0.699334402839143,0.5909729084177832,90.16565718914396,0.018195836869391364,0.001,1.0,0.9939698492462311,0.9949158934908267,0.9941744389160504,1.8425570071583064,0.5983237450671308,76.24573814141358,1.16798751958659,0.001,1.0,0.7699530516431925,0.7418058692515214,0.7398387764196588,0.0009165774580897602
16,0.6849785486058374,0.5814073668053402,88.49876998824689,0.015072415334794989,0.001,1.0,0.9969849246231156,0.9979879482480527,0.9982755602240896,1.8104283222010438,0.5921214390808428,75.21154423386838,1.1430953245767406,0.001,1.0,0.7793427230046949,0.7406333114035822,0.7314283857482387,0.0009054634122155992
17,0.6695687129868934,0.5669033544147434,89.86024655289387,0.01280510686811799,0.001,1.0,0.9989949748743718,0.9992196995478633,0.9992559523809523,1.784811820222738,0.583610927554923,74.09442679535056,1.1271064751584765,0.001,1.0,0.7887323943661971,0.7513989569830047,0.7463236620405738,0.0008937318807859689
18,0.6582362033613962,0.55951876268914,88.24139750878416,0.010476050148723909,0.001,1.0,0.9989949748743718,0.9991511377631472,0.9991197183098591,1.8360397401550006,0.5786313512515574,73.23588554847969,1.184172488714048,0.001,1.0,0.784037558685446,0.7444429001363932,0.7424726519395637,0.0008814009529720156
