split,path,label_idx,label,kmeans_cluster,gmm_cluster,main_cluster,dim1,dim2,pca_denoised_cluster,final_cluster,pca_umap_dim1,pca_umap_dim2
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/aleksandra-ekster_woman-with-fish-1934.jpg,0,ArtDeco,2,3,2,-0.15306878,-0.9417507,0,0,3.1773455,0.15726703
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/bernardo-marques_civiliza-o.jpg,0,ArtDeco,1,4,1,0.1429801,-0.5574298,5,5,3.7358127,-1.035067
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/bernardo-marques_fernanda-de-castro-cidade-em-flor-capa-1924.jpg,0,ArtDeco,1,0,1,-1.4139699,2.8750505,4,4,-0.62783074,2.4845924
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/bernardo-marques_sem-t-tulo-paisagem-do-mar-o.jpg,0,ArtDeco,2,5,2,-0.349289,3.9323645,4,4,-1.1114507,1.2939926
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/carlos-saenz-de-tejada_sketch-for-decoration-of-carmen-antonia-merce-la-argentina-1927.jpg,0,ArtDeco,1,0,1,-1.6878762,2.8865047,4,4,-0.9090708,3.8169274
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_autumn-song.jpg,0,ArtDeco,5,1,5,0.92928445,-1.4479367,7,7,4.268365,1.2520579
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_blossom-umbrella.jpg,0,ArtDeco,7,2,7,-0.5451518,1.9371991,4,4,-1.2079108,0.3643889
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_brown-boot.jpg,0,ArtDeco,7,3,7,2.108793,-0.16651057,7,7,3.991284,-1.2923099
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_ceres-the-planets.jpg,0,ArtDeco,1,0,1,-2.2084625,3.262483,4,4,-1.5206825,4.1832438
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_costume-design-2.jpg,0,ArtDeco,1,0,1,-2.1995113,3.2499177,4,4,-1.517682,4.1916475
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_costume-for-casanova.jpg,0,ArtDeco,1,0,1,-2.190122,3.1337636,3,3,-0.70353514,4.06102
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_ebony-1.jpg,0,ArtDeco,3,4,3,3.6544526,-0.14673138,5,5,6.252475,-0.18626566
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_evening-creation.jpg,0,ArtDeco,1,0,1,-2.0640533,3.2200427,4,4,-1.5354542,4.1357336
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_number-0.jpg,0,ArtDeco,6,5,6,-2.519267,2.4517562,3,3,0.63140064,3.4313216
