stage,algorithm,pca_dim,k,explained_variance,silhouette,ARI,NMI,purity
fast_screening,GMM_diag,48,10,0.81514454,-0.011113341,0.039098282529683226,0.09517052001462688,0.339662447257384
fast_screening,KMeans,48,12,0.81514454,0.054543916,0.03346940718506779,0.09446836210556092,0.3178621659634318
fast_screening,GMM_diag,64,12,0.89484805,-0.03711572,0.03306764445507173,0.09343849302744885,0.3459915611814346
fast_screening,GMM_diag,48,12,0.81514454,-0.030422617,0.03861927535757572,0.09187428392283041,0.340365682137834
fast_screening,GMM_diag,16,12,0.5238079,0.032579362,0.028399608918888795,0.08908473137815427,0.3129395218002813
fast_screening,KMeans,24,12,0.62157166,0.07726917,0.02967635682039113,0.08879517594141349,0.30450070323488043
fast_screening,GMM_diag,32,12,0.6997391,-0.00968303,0.03272868147679775,0.08876987644323238,0.32559774964838256
fast_screening,GMM_diag,32,10,0.6997391,-0.014473782,0.030105029277602714,0.08789311458522911,0.31575246132208157
fast_screening,KMeans,32,10,0.6997391,0.065047994,0.03507733213909115,0.08749940916916572,0.31645569620253167
fast_screening,KMeans,32,12,0.6997391,0.06639297,0.030538728851485133,0.08658876517455039,0.31926863572433195
