stage,algorithm,pca_dim,k,explained_variance,silhouette,ARI,NMI,purity
fast_screening,KMeans,8,12,0.3827232,0.149952,0.028273777521051587,0.08541626838961601,0.3059071729957806
fast_screening,KMeans,8,9,0.3827232,0.14470442,0.02993802891766427,0.07835039405214013,0.2869198312236287
fast_screening,KMeans,8,10,0.3827232,0.14293168,0.029737231779541705,0.07849239321877564,0.29324894514767935
fast_screening,KMeans,8,8,0.3827232,0.13963419,0.028378739777764218,0.06998488426170116,0.27637130801687765
fast_screening,KMeans,8,7,0.3827232,0.13341087,0.024127932090702606,0.05962494085226126,0.2742616033755274
fast_screening,KMeans,8,6,0.3827232,0.12387425,0.029202280008856583,0.05566276506170642,0.2651195499296765
fast_screening,KMeans,16,9,0.5238079,0.09669836,0.030276983589648684,0.07595271105397276,0.2883263009845288
fast_screening,GMM_diag,8,7,0.3827232,0.095140286,0.030929524376414937,0.07349654476223609,0.30239099859353025
fast_screening,GMM_diag,8,8,0.3827232,0.09461392,0.03677581438958808,0.07892404015106846,0.3059071729957806
fast_screening,KMeans,16,12,0.5238079,0.09367838,0.027167310300264383,0.0816419909197046,0.3066104078762307
