stage,algorithm,pca_dim,k,explained_variance,silhouette,ARI,NMI,purity
fast_screening,KMeans,8,8,0.3827232,0.13963419,0.028378739777764218,0.06998488426170116,0.27637130801687765
fast_screening,GMM_diag,8,8,0.3827232,0.09461392,0.03677581438958808,0.07892404015106846,0.3059071729957806
fast_screening,KMeans,16,8,0.5238079,0.08285666,0.023885655385776014,0.06299569601293269,0.2651195499296765
fast_screening,GMM_diag,16,8,0.5238079,0.021148987,0.023237061720035427,0.07073779907174244,0.3080168776371308
fast_screening,KMeans,24,8,0.62157166,0.07355321,0.02911647237757852,0.06431360195180864,0.2749648382559775
fast_screening,GMM_diag,24,8,0.62157166,0.019305479,0.020988956157092873,0.06069957046695159,0.2819971870604782
fast_screening,KMeans,32,8,0.6997391,0.059616163,0.024987087314112612,0.06422077647815844,0.2812939521800281
fast_screening,GMM_diag,32,8,0.6997391,-0.014035328,0.02786153313316493,0.07004260647494545,0.30239099859353025
fast_screening,KMeans,48,8,0.81514454,0.047920447,0.02477555541248472,0.06804477124680348,0.2812939521800281
fast_screening,GMM_diag,48,8,0.81514454,-0.028687872,0.03060581526199757,0.08092909349659927,0.31575246132208157
fast_screening,KMeans,64,8,0.89484805,0.04517712,0.030500158225273948,0.07134677539906811,0.28973277074542897
fast_screening,GMM_diag,64,8,0.89484805,-0.034430977,0.035941233890936584,0.07906335377318713,0.3234880450070324
