split,path,label_idx,label,kmeans_cluster,gmm_cluster,main_cluster,dim1,dim2
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/aleksandra-ekster_woman-with-fish-1934.jpg,0,ArtDeco,2,3,2,-0.15306878,-0.9417507
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/bernardo-marques_civiliza-o.jpg,0,ArtDeco,1,4,1,0.1429801,-0.5574298
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/bernardo-marques_fernanda-de-castro-cidade-em-flor-capa-1924.jpg,0,ArtDeco,1,0,1,-1.4139699,2.8750505
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/bernardo-marques_sem-t-tulo-paisagem-do-mar-o.jpg,0,ArtDeco,2,5,2,-0.349289,3.9323645
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/carlos-saenz-de-tejada_sketch-for-decoration-of-carmen-antonia-merce-la-argentina-1927.jpg,0,ArtDeco,1,0,1,-1.6878762,2.8865047
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_autumn-song.jpg,0,ArtDeco,5,1,5,0.92928445,-1.4479367
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_blossom-umbrella.jpg,0,ArtDeco,7,2,7,-0.5451518,1.9371991
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_brown-boot.jpg,0,ArtDeco,7,3,7,2.108793,-0.16651057
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_ceres-the-planets.jpg,0,ArtDeco,1,0,1,-2.2084625,3.262483
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_costume-design-2.jpg,0,ArtDeco,1,0,1,-2.1995113,3.2499177
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_costume-for-casanova.jpg,0,ArtDeco,1,0,1,-2.190122,3.1337636
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_ebony-1.jpg,0,ArtDeco,3,4,3,3.6544526,-0.14673138
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_evening-creation.jpg,0,ArtDeco,1,0,1,-2.0640533,3.2200427
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_number-0.jpg,0,ArtDeco,6,5,6,-2.519267,2.4517562
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_stolen-kisses.jpg,0,ArtDeco,3,5,3,3.11712,-1.1375842
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_swept-away.jpg,0,ArtDeco,5,3,5,2.264315,-0.57263416
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-aces-hearts.jpg,0,ArtDeco,0,5,0,-3.5011091,2.5589216
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-kiss.jpg,0,ArtDeco,1,0,1,-2.2466755,2.9457502
